Rental Commencement Month,Block No.,Street Name,Monthly Rent (S$),Flat Type
Mar 2024,466,Ang Mo Kio Ave 10,"2,600.00",03
Mar 2024,468,Ang Mo Kio Ave 10,"2,700.00",03
Mar 2024,471,Ang Mo Kio Ave 10,"2,900.00",03
Mar 2024,471,Ang Mo Kio Ave 10,"3,200.00",03
Mar 2024,475,Ang Mo Kio Ave 10,"2,950.00",03
Mar 2024,503,Ang Mo Kio Ave 5,"2,700.00",03
Mar 2024,503,Ang Mo Kio Ave 5,"2,800.00",03
Mar 2024,503,Ang Mo Kio Ave 5,"3,000.00",03
Mar 2024,504,Ang Mo Kio Ave 8,"1,650.00",03
Mar 2024,504,Ang Mo Kio Ave 8,"3,000.00",03
Mar 2024,505,Ang Mo Kio Ave 8,"2,700.00",03
Mar 2024,509,Ang Mo Kio Ave 8,"2,000.00",03
Mar 2024,509,Ang Mo Kio Ave 8,"2,150.00",03
Mar 2024,513,Ang Mo Kio Ave 8,"3,400.00",03
Mar 2024,523,Ang Mo Kio Ave 5,"2,600.00",03
Mar 2024,533,Ang Mo Kio Ave 5,"1,700.00",03
Mar 2024,549,Ang Mo Kio Ave 10,"3,300.00",03
Mar 2024,550,Ang Mo Kio Ave 10,"2,400.00",03
Mar 2024,558,Ang Mo Kio Ave 10,"1,500.00",03
Mar 2024,560,Ang Mo Kio Ave 10,"3,000.00",03
Mar 2024,564,Ang Mo Kio Ave 3,"2,200.00",03
Mar 2024,571,Ang Mo Kio Ave 3,"2,900.00",03
Mar 2024,571,Ang Mo Kio Ave 3,"3,200.00",03
Mar 2024,577,Ang Mo Kio Ave 10,"1,500.00",03
Mar 2024,587,Ang Mo Kio Ave 3,"2,000.00",03
Mar 2024,590B,Ang Mo Kio St 51,"3,200.00",03
Mar 2024,601,Ang Mo Kio Ave 5,"3,000.00",03
Mar 2024,605,Ang Mo Kio Ave 5,"1,800.00",03
Mar 2024,605,Ang Mo Kio Ave 5,"3,000.00",03
Mar 2024,625,Ang Mo Kio Ave 9,"2,400.00",03
Mar 2024,631,Ang Mo Kio Ave 4,"2,300.00",03
Mar 2024,631,Ang Mo Kio Ave 4,"3,000.00",03
Mar 2024,639,Ang Mo Kio Ave 6,"2,300.00",03
Mar 2024,639,Ang Mo Kio Ave 6,"3,300.00",03
Mar 2024,644,Ang Mo Kio Ave 4,"2,200.00",03
Mar 2024,644,Ang Mo Kio Ave 4,"2,300.00",03
Mar 2024,646,Ang Mo Kio Ave 6,"3,000.00",03
Mar 2024,709,Ang Mo Kio Ave 8,"2,300.00",03
Mar 2024,720,Ang Mo Kio Ave 6,"2,500.00",03
Mar 2024,720,Ang Mo Kio Ave 6,"2,900.00",03
Mar 2024,728,Ang Mo Kio Ave 6,"2,500.00",03
Mar 2024,107,Ang Mo Kio Ave 4,"3,800.00",04
Mar 2024,118,Ang Mo Kio Ave 4,"3,400.00",04
Mar 2024,118,Ang Mo Kio Ave 4,"3,800.00",04
Mar 2024,119,Ang Mo Kio Ave 3,"2,900.00",04
Mar 2024,134,Ang Mo Kio Ave 3,"2,600.00",04
Mar 2024,179,Ang Mo Kio Ave 5,"3,950.00",04
Mar 2024,181,Ang Mo Kio Ave 5,"3,200.00",04
Mar 2024,210,Ang Mo Kio Ave 3,"2,600.00",04
Mar 2024,260B,Ang Mo Kio St 21,"3,800.00",04
Mar 2024,303,Ang Mo Kio Ave 1,"3,650.00",04
Mar 2024,303,Ang Mo Kio Ave 1,"3,800.00",04
Mar 2024,307A,Ang Mo Kio Ave 1,"3,400.00",04
Mar 2024,308A,Ang Mo Kio Ave 1,"3,700.00",04
Mar 2024,309A,Ang Mo Kio St 31,"3,300.00",04
Mar 2024,316A,Ang Mo Kio St 31,"3,200.00",04
Mar 2024,334,Ang Mo Kio Ave 1,"3,900.00",04
Mar 2024,352,Ang Mo Kio St 32,"3,800.00",04
Mar 2024,429,Ang Mo Kio Ave 3,"3,200.00",04
Mar 2024,445,Ang Mo Kio Ave 10,"3,550.00",04
Mar 2024,541,Ang Mo Kio Ave 10,"3,600.00",04
Mar 2024,546,Ang Mo Kio Ave 10,"3,650.00",04
Mar 2024,547,Ang Mo Kio Ave 10,"3,200.00",04
Mar 2024,547,Ang Mo Kio Ave 10,"3,500.00",04
Mar 2024,584,Ang Mo Kio Ave 3,"2,500.00",04
Mar 2024,601,Ang Mo Kio Ave 5,"3,400.00",04
Mar 2024,635,Ang Mo Kio Ave 6,"3,500.00",04
Mar 2024,700A,Ang Mo Kio Ave 6,"3,800.00",04
Mar 2024,306,Ang Mo Kio Ave 1,"4,000.00",05
Mar 2024,315B,Ang Mo Kio St 31,"3,200.00",05
Mar 2024,316A,Ang Mo Kio St 31,"3,250.00",05
Mar 2024,401,Ang Mo Kio Ave 10,"3,500.00",05
Mar 2024,430,Ang Mo Kio Ave 3,"2,500.00",05
Mar 2024,439,Ang Mo Kio Ave 10,"3,700.00",05
Mar 2024,439,Ang Mo Kio Ave 10,"3,800.00",05
Mar 2024,455B,Ang Mo Kio St 44,"3,900.00",05
Mar 2024,539,Ang Mo Kio Ave 10,"3,200.00",05
Mar 2024,539,Ang Mo Kio Ave 10,"3,800.00",05
Mar 2024,588A,Ang Mo Kio St 52,"2,850.00",05
Mar 2024,588B,Ang Mo Kio St 52,"4,200.00",05
Mar 2024,648,Ang Mo Kio Ave 5,"3,800.00",05
Mar 2024,534,Bedok Nth St 3,"2,000.00",02
Mar 2024,534,Bedok Nth St 3,"2,100.00",02
Mar 2024,535,Bedok Nth St 3,"1,700.00",02
Mar 2024,1,Bedok Sth Ave 1,"2,800.00",03
Mar 2024,107,Bedok Nth Rd,"2,500.00",03
Mar 2024,108,Bedok Nth Rd,"2,800.00",03
Mar 2024,117,Bedok Nth Rd,"2,300.00",03
Mar 2024,126,Bedok Nth St 2,"2,300.00",03
Mar 2024,127,Bedok Nth St 2,"2,400.00",03
Mar 2024,128,Bedok Nth St 2,"3,600.00",03
Mar 2024,138,Bedok Nth St 2,"2,000.00",03
Mar 2024,139,Bedok Reservoir Rd,"2,250.00",03
Mar 2024,18,Bedok Sth Rd,"2,200.00",03
Mar 2024,18,Bedok Sth Rd,"2,800.00",03
Mar 2024,201,Bedok Nth St 1,"2,500.00",03
Mar 2024,202,Bedok Nth St 1,"2,800.00",03
Mar 2024,202,Bedok Nth St 1,"3,400.00",03
Mar 2024,208,New Upp Changi Rd,"2,500.00",03
Mar 2024,208,New Upp Changi Rd,"3,300.00",03
Mar 2024,218,Bedok Nth St 1,650.00,03
Mar 2024,218,Bedok Nth St 1,"3,300.00",03
Mar 2024,22,Bedok Sth Ave 1,"2,700.00",03
Mar 2024,23,Bedok Sth Ave 1,"3,000.00",03
Mar 2024,24,New Upp Changi Rd,"2,900.00",03
Mar 2024,28,New Upp Changi Rd,"2,200.00",03
Mar 2024,28,New Upp Changi Rd,"2,800.00",03
Mar 2024,3,Bedok Sth Ave 1,"2,600.00",03
Mar 2024,3,Bedok Sth Ave 1,"2,900.00",03
Mar 2024,30,New Upp Changi Rd,"1,200.00",03
Mar 2024,30,New Upp Changi Rd,"3,500.00",03
Mar 2024,32,Chai Chee Ave,"3,000.00",03
Mar 2024,33,Bedok Sth Ave 2,"2,800.00",03
Mar 2024,37,Chai Chee Ave,"2,300.00",03
Mar 2024,37,Chai Chee Ave,"3,200.00",03
Mar 2024,40,Bedok Sth Rd,"2,000.00",03
Mar 2024,41,Chai Chee St,"3,100.00",03
Mar 2024,416,Bedok Nth Ave 2,"2,800.00",03
Mar 2024,416,Bedok Nth Ave 2,"3,000.00",03
Mar 2024,418,Bedok Nth Ave 2,"2,500.00",03
Mar 2024,418,Bedok Nth Ave 2,"3,000.00",03
Mar 2024,419,Bedok Nth St 1,"2,400.00",03
Mar 2024,420,Bedok Nth St 1,"1,900.00",03
Mar 2024,420,Bedok Nth St 1,"3,000.00",03
Mar 2024,424,Bedok Nth Ave 1,"2,800.00",03
Mar 2024,45,Chai Chee St,"2,500.00",03
Mar 2024,501,Bedok Nth St 3,"2,900.00",03
Mar 2024,503,Bedok Nth St 3,"2,500.00",03
Mar 2024,504,Bedok Nth St 3,"2,700.00",03
Mar 2024,504,Bedok Nth St 3,"3,000.00",03
Mar 2024,510,Bedok Nth St 3,"2,900.00",03
Mar 2024,520,Bedok Nth Ave 1,"3,000.00",03
Mar 2024,522,Bedok Nth Ave 1,"2,900.00",03
Mar 2024,529,Bedok Nth St 3,"3,000.00",03
Mar 2024,529,Bedok Nth St 3,"3,200.00",03
Mar 2024,532,Bedok Nth St 3,"2,600.00",03
Mar 2024,533,Bedok Nth St 3,"2,900.00",03
Mar 2024,54,Chai Chee St,"2,450.00",03
Mar 2024,540,Bedok Nth St 3,"2,700.00",03
Mar 2024,545,Bedok Nth St 3,"2,900.00",03
Mar 2024,548,Bedok Nth Ave 1,"2,500.00",03
Mar 2024,550,Bedok Nth Ave 1,"2,800.00",03
Mar 2024,554,Bedok Nth St 3,"1,500.00",03
Mar 2024,57,Chai Chee Dr,"2,900.00",03
Mar 2024,57,Chai Chee Dr,"3,100.00",03
Mar 2024,57,New Upp Changi Rd,"2,800.00",03
Mar 2024,58,Chai Chee Dr,"3,200.00",03
Mar 2024,59,Chai Chee Rd,"2,800.00",03
Mar 2024,59,Chai Chee Rd,"3,000.00",03
Mar 2024,60,Chai Chee Rd,"3,200.00",03
Mar 2024,606,Bedok Reservoir Rd,"3,000.00",03
Mar 2024,617,Bedok Reservoir Rd,"2,200.00",03
Mar 2024,618,Bedok Reservoir Rd,"2,000.00",03
Mar 2024,631,Bedok Reservoir Rd,"2,800.00",03
Mar 2024,70,Bedok Sth Rd,"2,400.00",03
Mar 2024,704,Bedok Reservoir Rd,"2,650.00",03
Mar 2024,712,Bedok Reservoir Rd,"2,800.00",03
Mar 2024,74,Bedok Nth Rd,"2,700.00",03
Mar 2024,74,Bedok Nth Rd,"2,800.00",03
Mar 2024,740,Bedok Reservoir Rd,"1,500.00",03
Mar 2024,742,Bedok Reservoir Rd,"3,200.00",03
Mar 2024,75,Bedok Nth Rd,"1,000.00",03
Mar 2024,75,Bedok Nth Rd,"3,100.00",03
Mar 2024,121,Bedok Nth Rd,"2,600.00",04
Mar 2024,122,Bedok Reservoir Rd,"2,800.00",04
Mar 2024,122,Bedok Reservoir Rd,"3,000.00",04
Mar 2024,130,Bedok Nth St 2,"3,050.00",04
Mar 2024,133,Bedok Nth Ave 3,"3,950.00",04
Mar 2024,135,Bedok Nth St 2,"2,700.00",04
Mar 2024,136,Bedok Reservoir Rd,"2,400.00",04
Mar 2024,163,Bedok Sth Rd,"3,100.00",04
Mar 2024,164,Bedok Sth Rd,"2,700.00",04
Mar 2024,169,Bedok Sth Ave 3,"3,500.00",04
Mar 2024,170,Bedok Sth Rd,"3,400.00",04
Mar 2024,180,Bedok Nth Rd,"3,400.00",04
Mar 2024,180,Bedok Nth Rd,"3,600.00",04
Mar 2024,181,Bedok Nth Rd,"3,600.00",04
Mar 2024,182,Bedok Nth Rd,"3,000.00",04
Mar 2024,183,Bedok Nth Rd,"3,000.00",04
Mar 2024,183,Bedok Nth Rd,"3,800.00",04
Mar 2024,221A,Bedok Ctrl,"3,200.00",04
Mar 2024,221C,Bedok Ctrl,"3,200.00",04
Mar 2024,34,Bedok Sth Ave 2,"2,200.00",04
Mar 2024,34,Bedok Sth Ave 2,"2,800.00",04
Mar 2024,35,Chai Chee Ave,"3,700.00",04
Mar 2024,36,Bedok Sth Ave 2,"2,150.00",04
Mar 2024,36,Bedok Sth Ave 2,"3,500.00",04
Mar 2024,37,Bedok Sth Ave 2,"2,900.00",04
Mar 2024,41,Bedok Sth Rd,"2,300.00",04
Mar 2024,42,Bedok Sth Rd,"2,700.00",04
Mar 2024,43,Bedok Sth Rd,"3,100.00",04
Mar 2024,44,Bedok Sth Rd,"2,400.00",04
Mar 2024,5,Bedok Sth Ave 2,"2,900.00",04
Mar 2024,51,New Upp Changi Rd,"2,700.00",04
Mar 2024,526,Bedok Nth St 3,"2,700.00",04
Mar 2024,547,Bedok Nth St 3,"2,300.00",04
Mar 2024,56,Chai Chee Dr,"3,500.00",04
Mar 2024,606,Bedok Reservoir Rd,"2,600.00",04
Mar 2024,609,Bedok Reservoir Rd,"1,500.00",04
Mar 2024,61,Chai Chee Rd,"3,000.00",04
Mar 2024,612,Bedok Reservoir Rd,"2,300.00",04
Mar 2024,64,New Upp Changi Rd,"3,900.00",04
Mar 2024,64,New Upp Changi Rd,"4,000.00",04
Mar 2024,648,Jln Tenaga,"3,500.00",04
Mar 2024,650,Jln Tenaga,"4,000.00",04
Mar 2024,666,Jln Damai,"3,300.00",04
Mar 2024,7,Bedok Sth Ave 2,"3,300.00",04
Mar 2024,708,Bedok Nth Rd,"3,800.00",04
Mar 2024,720,Bedok Reservoir Rd,"2,900.00",04
Mar 2024,720,Bedok Reservoir Rd,"3,200.00",04
Mar 2024,723,Bedok Reservoir Rd,"2,700.00",04
Mar 2024,724,Bedok Reservoir Rd,"3,600.00",04
Mar 2024,761,Bedok Reservoir View,"2,650.00",04
Mar 2024,767,Bedok Reservoir View,"3,800.00",04
Mar 2024,772,Bedok Reservoir View,"2,600.00",04
Mar 2024,772,Bedok Reservoir View,"3,500.00",04
Mar 2024,78,Bedok Nth Rd,"3,200.00",04
Mar 2024,81,Bedok Nth Rd,"2,500.00",04
Mar 2024,81,Bedok Nth Rd,"3,300.00",04
Mar 2024,82,Bedok Nth Rd,"3,200.00",04
Mar 2024,82,Bedok Nth Rd,"3,800.00",04
Mar 2024,82,Bedok Nth Rd,"4,000.00",04
Mar 2024,93,Bedok Nth Ave 4,"3,400.00",04
Mar 2024,112,Lengkong Tiga,"4,400.00",05
Mar 2024,116,Lengkong Tiga,"3,600.00",05
Mar 2024,14,Bedok Sth Ave 2,"2,500.00",05
Mar 2024,147,Bedok Reservoir Rd,"3,800.00",05
Mar 2024,164,Bedok Sth Rd,"3,550.00",05
Mar 2024,2,Chai Chee Rd,"4,000.00",05
Mar 2024,34,Chai Chee Ave,"3,000.00",05
Mar 2024,506,Bedok Nth Ave 3,"3,900.00",05
Mar 2024,553,Bedok Nth Ave 1,"3,650.00",05
Mar 2024,629,Bedok Reservoir Rd,"2,900.00",05
Mar 2024,715,Bedok Reservoir Rd,"3,000.00",05
Mar 2024,72,Bedok Sth Ave 3,"4,200.00",05
Mar 2024,761,Bedok Reservoir View,"3,200.00",05
Mar 2024,763,Bedok Reservoir View,"3,500.00",05
Mar 2024,765,Bedok Reservoir View,"3,450.00",05
Mar 2024,10F,Bedok Sth Ave 2,"3,400.00",06
Mar 2024,115,Bedok Reservoir Rd,"3,400.00",06
Mar 2024,130,Bedok Reservoir Rd,"2,100.00",06
Mar 2024,633,Bedok Reservoir Rd,"4,800.00",06
Mar 2024,663,Jln Damai,"4,500.00",06
Mar 2024,725,Bedok Reservoir Rd,"4,050.00",06
Mar 2024,105,Bishan St 12,"2,900.00",03
Mar 2024,115,Bishan St 12,"2,400.00",03
Mar 2024,185,Bishan St 13,"3,000.00",03
Mar 2024,188,Bishan St 13,"2,700.00",03
Mar 2024,189,Bishan St 13,"2,700.00",03
Mar 2024,193,Bishan St 13,"3,200.00",03
Mar 2024,22,Sin Ming Rd,"2,300.00",03
Mar 2024,22,Sin Ming Rd,"3,000.00",03
Mar 2024,305,Shunfu Rd,"2,100.00",03
Mar 2024,307,Shunfu Rd,"3,100.00",03
Mar 2024,406,Sin Ming Ave,"2,700.00",03
Mar 2024,407,Sin Ming Ave,"3,300.00",03
Mar 2024,107,Bishan St 12,"3,000.00",04
Mar 2024,114,Bishan St 12,"2,300.00",04
Mar 2024,122,Bishan St 12,"1,200.00",04
Mar 2024,125,Bishan St 12,"3,800.00",04
Mar 2024,166,Bishan St 13,"2,750.00",04
Mar 2024,178,Bishan St 13,"2,600.00",04
Mar 2024,181,Bishan St 13,"3,800.00",04
Mar 2024,189,Bishan St 13,"2,400.00",04
Mar 2024,209,Bishan St 23,"2,200.00",04
Mar 2024,210,Bishan St 23,"4,000.00",04
Mar 2024,216,Bishan St 23,"2,600.00",04
Mar 2024,221,Bishan St 23,"3,800.00",04
Mar 2024,239,Bishan St 22,"3,400.00",04
Mar 2024,248,Bishan St 22,"3,900.00",04
Mar 2024,260,Bishan St 22,"3,700.00",04
Mar 2024,271,Bishan St 24,"3,100.00",04
Mar 2024,272,Bishan St 24,"3,800.00",04
Mar 2024,278,Bishan St 24,"3,500.00",04
Mar 2024,286,Bishan St 24,"4,000.00",04
Mar 2024,292,Bishan St 22,"3,800.00",04
Mar 2024,305,Shunfu Rd,"2,800.00",04
Mar 2024,406,Sin Ming Ave,"4,000.00",04
Mar 2024,445,Sin Ming Ave,"3,850.00",04
Mar 2024,455,Sin Ming Ave,"3,150.00",04
Mar 2024,101,Bishan St 12,"2,200.00",05
Mar 2024,125,Bishan St 12,"3,900.00",05
Mar 2024,126,Bishan St 12,"4,200.00",05
Mar 2024,161,Bishan St 13,"4,200.00",05
Mar 2024,173,Bishan St 13,"4,100.00",05
Mar 2024,183,Bishan St 13,"4,500.00",05
Mar 2024,205,Bishan St 23,"4,200.00",05
Mar 2024,221,Bishan St 23,"4,200.00",05
Mar 2024,223,Bishan St 23,"4,500.00",05
Mar 2024,242,Bishan St 22,"3,300.00",05
Mar 2024,273A,Bishan St 24,"4,600.00",05
Mar 2024,273B,Bishan St 24,600.00,05
Mar 2024,288,Bishan St 24,"4,000.00",05
Mar 2024,405,Sin Ming Ave,"3,000.00",05
Mar 2024,405,Sin Ming Ave,"4,500.00",05
Mar 2024,442,Sin Ming Ave,"3,700.00",05
Mar 2024,444,Sin Ming Ave,"4,000.00",05
Mar 2024,453,Sin Ming Ave,"2,500.00",05
Mar 2024,202,Bishan St 23,"3,450.00",06
Mar 2024,301,Shunfu Rd,"4,000.00",06
Mar 2024,404,Sin Ming Ave,"3,800.00",06
Mar 2024,438A,Bt Batok West Ave 8,"2,700.00",02
Mar 2024,438B,Bt Batok West Ave 8,"2,300.00",02
Mar 2024,438B,Bt Batok West Ave 8,"2,500.00",02
Mar 2024,438C,Bt Batok West Ave 8,"2,500.00",02
Mar 2024,439A,Bt Batok West Ave 8,"2,500.00",02
Mar 2024,448A,Bt Batok West Ave 9,"2,400.00",02
Mar 2024,127,Bt Batok West Ave 6,"2,400.00",03
Mar 2024,127,Bt Batok West Ave 6,"3,000.00",03
Mar 2024,132,Bt Batok West Ave 6,"3,000.00",03
Mar 2024,134,Bt Batok West Ave 6,"2,800.00",03
Mar 2024,135,Bt Batok West Ave 6,"2,900.00",03
Mar 2024,136,Bt Batok West Ave 6,"2,700.00",03
Mar 2024,148,Bt Batok West Ave 6,"2,600.00",03
Mar 2024,152,Bt Batok St 11,"2,750.00",03
Mar 2024,163,Bt Batok St 11,"2,500.00",03
Mar 2024,181,Bt Batok West Ave 8,"2,900.00",03
Mar 2024,207,Bt Batok St 21,"2,800.00",03
Mar 2024,219,Bt Batok St 21,"3,000.00",03
Mar 2024,227,Bt Batok Ctrl,"3,200.00",03
Mar 2024,228,Bt Batok Ctrl,"2,600.00",03
Mar 2024,239,Bt Batok East Ave 5,"2,000.00",03
Mar 2024,247,Bt Batok East Ave 5,"2,400.00",03
Mar 2024,267,Bt Batok East Ave 4,"2,900.00",03
Mar 2024,269,Bt Batok East Ave 4,"2,900.00",03
Mar 2024,272,Bt Batok East Ave 4,"2,000.00",03
Mar 2024,296B,Bt Batok St 22,"2,000.00",03
Mar 2024,305,Bt Batok St 31,"2,000.00",03
Mar 2024,311,Bt Batok St 32,"3,150.00",03
Mar 2024,312,Bt Batok St 32,"2,350.00",03
Mar 2024,316,Bt Batok St 32,"3,000.00",03
Mar 2024,324,Bt Batok St 33,"2,700.00",03
Mar 2024,345,Bt Batok St 34,"3,000.00",03
Mar 2024,360,Bt Batok St 31,"2,600.00",03
Mar 2024,360,Bt Batok St 31,"2,800.00",03
Mar 2024,407,Bt Batok West Ave 4,"2,500.00",03
Mar 2024,450D,Bt Batok West Ave 6,"3,100.00",03
Mar 2024,450D,Bt Batok West Ave 6,"3,200.00",03
Mar 2024,504,Bt Batok St 52,"2,700.00",03
Mar 2024,528,Bt Batok St 51,"2,400.00",03
Mar 2024,539,Bt Batok St 52,"2,400.00",03
Mar 2024,101,Bt Batok West Ave 6,"3,600.00",04
Mar 2024,104,Bt Batok Ctrl,"3,150.00",04
Mar 2024,106,Bt Batok Ctrl,"2,100.00",04
Mar 2024,108,Bt Batok West Ave 6,"3,800.00",04
Mar 2024,114,Bt Batok West Ave 6,"3,500.00",04
Mar 2024,116,Bt Batok West Ave 6,"2,150.00",04
Mar 2024,116,Bt Batok West Ave 6,"4,000.00",04
Mar 2024,133,Bt Batok West Ave 6,"2,200.00",04
Mar 2024,165,Bt Batok West Ave 8,"2,500.00",04
Mar 2024,204,Bt Batok St 21,"2,200.00",04
Mar 2024,209,Bt Batok St 21,"3,100.00",04
Mar 2024,209,Bt Batok St 21,"3,500.00",04
Mar 2024,210,Bt Batok St 21,"3,500.00",04
Mar 2024,212,Bt Batok St 21,"2,050.00",04
Mar 2024,212,Bt Batok St 21,"2,800.00",04
Mar 2024,233,Bt Batok East Ave 5,"2,400.00",04
Mar 2024,241,Bt Batok East Ave 5,"3,100.00",04
Mar 2024,259,Bt Batok East Ave 4,"3,000.00",04
Mar 2024,288C,Bt Batok St 25,"3,300.00",04
Mar 2024,288D,Bt Batok St 25,"2,700.00",04
Mar 2024,288D,Bt Batok St 25,"3,400.00",04
Mar 2024,288E,Bt Batok St 25,"3,000.00",04
Mar 2024,289E,Bt Batok St 25,"3,300.00",04
Mar 2024,289F,Bt Batok St 25,"3,500.00",04
Mar 2024,289F,Bt Batok St 25,"3,800.00",04
Mar 2024,290G,Bt Batok St 24,"2,800.00",04
Mar 2024,304,Bt Batok St 31,"3,400.00",04
Mar 2024,306,Bt Batok St 31,"2,000.00",04
Mar 2024,308,Bt Batok St 31,"2,500.00",04
Mar 2024,310,Bt Batok St 32,"3,300.00",04
Mar 2024,312,Bt Batok St 32,"3,300.00",04
Mar 2024,313,Bt Batok St 32,"3,200.00",04
Mar 2024,315,Bt Batok St 32,"3,800.00",04
Mar 2024,319,Bt Batok St 33,"3,300.00",04
Mar 2024,324,Bt Batok St 33,"2,800.00",04
Mar 2024,341,Bt Batok St 34,"3,000.00",04
Mar 2024,343,Bt Batok St 34,"2,600.00",04
Mar 2024,358,Bt Batok St 31,"2,100.00",04
Mar 2024,358,Bt Batok St 31,"3,000.00",04
Mar 2024,363,Bt Batok St 31,"3,400.00",04
Mar 2024,393,Bt Batok West Ave 5,"3,300.00",04
Mar 2024,394,Bt Batok West Ave 5,"3,200.00",04
Mar 2024,394,Bt Batok West Ave 5,"3,300.00",04
Mar 2024,395,Bt Batok West Ave 5,"2,000.00",04
Mar 2024,395,Bt Batok West Ave 5,"2,700.00",04
Mar 2024,407,Bt Batok West Ave 4,"3,500.00",04
Mar 2024,435C,Bt Batok West Ave 5,"3,700.00",04
Mar 2024,441B,Bt Batok West Ave 8,"3,500.00",04
Mar 2024,442C,Bt Batok West Ave 8,"3,500.00",04
Mar 2024,511,Bt Batok St 52,"2,700.00",04
Mar 2024,527,Bt Batok St 51,"3,400.00",04
Mar 2024,537,Bt Batok St 52,"3,800.00",04
Mar 2024,539,Bt Batok St 52,"3,100.00",04
Mar 2024,621,Bt Batok Ctrl,"3,350.00",04
Mar 2024,625,Bt Batok Ctrl,"4,000.00",04
Mar 2024,191,Bt Batok West Ave 6,"3,700.00",05
Mar 2024,202,Bt Batok St 21,"3,900.00",05
Mar 2024,203,Bt Batok St 21,"3,800.00",05
Mar 2024,243,Bt Batok East Ave 5,"3,500.00",05
Mar 2024,290G,Bt Batok St 24,"3,400.00",05
Mar 2024,291A,Bt Batok St 24,"3,500.00",05
